Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62052321,"Titanium Noir (Titanium Noir, #1)",Nick Harkaway,"Harkaway, Nick",,"=""0593535367""","=""9780593535363""",0,4.00,Knopf,Hardcover,236,2023,2023,,2026/02/20,to-read,to-read (#60),to-read,,,,0,0
2848807,Kill Your Friends,John Niven,"Niven, John",,"=""043401799X""","=""9780434017997""",0,3.84,Heinemann,Paperback,323,2008,2008,,2026/02/05,to-read,to-read (#59),to-read,,,,0,0
228077724,A Particularly Nasty Case,Adam Kay,"Kay, Adam",,"=""0316597546""","=""9780316597548""",4,3.48,Mulholland Books,Hardcover,336,2025,2025,2026/01/27,2026/01/16,,,read,,,,1,0
58864408,Mind & Body: Mental exercises for physical wellbeing; physical exercises for mental wellbeing,The School of Life,"Life, The School of",Alain de Botton,"=""1912891468""","=""9781912891467""",0,3.76,The School of Life,Hardcover,200,2021,,,2026/01/19,currently-reading,currently-reading (#6),currently-reading,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.90,Penguin Books,Paperback,107,2002,1937,,2026/01/16,,,read,,,,1,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.44,Penguin Books,Paperback,601,2002,1952,,2025/12/04,currently-reading,currently-reading (#5),currently-reading,,,,1,0
7745,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",2,4.06,Vintage Books,Paperback,204,1998,1971,2026/01/16,2026/01/04,,,read,,,,1,0
206318521,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",0,4.21,Ecco,Hardcover,262,2010,2010,,2026/01/14,to-read,to-read (#58),to-read,,,,0,0
421,The White Album,Joan Didion,"Didion, Joan",,"=""0374532079""","=""9780374532079""",0,4.02,FSG Adult,Paperback,224,2009,1979,,2026/01/14,to-read,to-read (#57),to-read,,,,0,0
424,Slouching Towards Bethlehem,Joan Didion,"Didion, Joan",,"=""""","=""""",0,4.18,Farrar Straus Giroux,Paperback,238,2008,1968,,2026/01/14,to-read,to-read (#56),to-read,,,,0,0
206318561,"Slow Days, Fast Company: The World, the Flesh, and L.A.",Eve Babitz,"Babitz, Eve",,"=""0394409841""","=""9780394409849""",0,4.08,Random House ,Hardcover,178,1997,1977,,2026/01/14,"to-read, if-didion-was-a-hot-slut","to-read (#55), if-didion-was-a-hot-slut (#1)",to-read,,,,0,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.77,Princeton University Press,Paperback,352,2004,1854,,2025/08/25,"to-read, judith-herman","to-read (#48), judith-herman (#4)",to-read,,,,0,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,"=""""","=""""",0,4.07,Broadway Books,Kindle Edition,352,2018,2004,,2026/01/01,"to-read, ed-elison","to-read (#54), ed-elison (#1)",to-read,,,,0,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte  Gordon,"=""0143131842""","=""9780143131847""",3,3.91,Penguin Publishing Group,Paperback,260,2018,1818,2025/12/30,2025/12/20,audio,audio (#3),read,,,,1,0
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""1847941494""","=""9781847941497""",0,4.34,Random House Business,Paperback,274,2023,2016,2025/09/01,2024/09/16,audio,audio (#2),read,,,,1,0
215514806,"The Next Conversation: Argue Less, Talk More",Jefferson Fisher,"Fisher, Jefferson",,"=""0593718720""","=""9780593718728""",0,4.30,Tarcher,Hardcover,304,2025,2025,2025/08/26,2025/12/29,audio,audio (#1),read,,,,1,0
40656712,"Rabbit, Run (Rabbit Angstrom, #1)",John Updike,"Updike, John",,"=""""","=""""",0,3.59,Random House,Kindle Edition,337,2010,1960,,2025/12/29,"to-read, judith-herman","to-read (#53), judith-herman (#3)",to-read,,,,0,0
10445,Too Far to Go: The Maples Stories,John Updike,"Updike, John",,"=""0449200167""","=""9780449200162""",0,4.07,Fawcett,Mass Market Paperback,256,1982,,,2025/12/29,"to-read, judith-herman","to-read (#52), judith-herman (#2)",to-read,,,,0,0
19117,Fathers and Sons,Ivan Turgenev,"Turgenev, Ivan","George Reavy, Jane Costlow","=""""","=""""",0,4.00,Signet,Mass Market Paperback,244,2005,1862,,2025/12/29,"to-read, judith-herman","to-read (#51), judith-herman (#1)",to-read,,,,0,0
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,"=""0967285550""","=""9780967285559""",0,4.29,Momentum Media,Paperback,168,2005,2005,,2025/12/29,to-read,to-read (#50),to-read,,,,0,0
219732852,We Would Have Told Each Other Everything,Judith Hermann,"Hermann, Judith",,"=""1738536211""","=""9781738536214""",5,3.74,Granta Magazine,Kindle Edition,132,2025,2023,2025/12/28,2025/06/20,,,read,,,,1,0
52045757,Minor Detail,Adania Shibli,"Shibli, Adania",Elisabeth Jaquette,"=""191309717X""","=""9781913097172""",0,4.17,Fitzcarraldo Editions,Paperback,112,2020,2017,,2025/12/07,to-read,to-read (#49),to-read,,,,0,0
214152261,Flesh,David Szalay,"Szalay, David",,"=""198212279X""","=""9781982122799""",3,3.74,Scribner,Hardcover,368,2025,2025,2025/12/05,2025/11/28,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",0,3.92,HarperOne,Paperback,182,2014,1988,2025/02/01,2025/12/01,,,read,,,,1,0
28510777,Forty Autumns: A Family's Story of Courage and Survival on Both Sides of the Berlin Wall,Nina Willner,"Willner, Nina",,"=""0062410334""","=""9780062410337""",4,4.37,William Morrow,ebook,416,2016,2016,2025/11/25,2025/11/02,,,read,,,,1,0
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""0786868716""","=""9780786868711""",0,4.01,Hyperion,Hardcover,196,2003,2003,2025/10/28,2025/10/28,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.29,Ace,Hardcover,658,2019,1965,2025/10/17,2025/10/16,,,read,,,,1,0
216025168,Who Wants to Live Forever,Hanna Thomas Uose,"Uose, Hanna Thomas",,"=""1840918489""","=""9781840918489""",3,3.84,Brazen,Kindle Edition,320,2025,2025,2025/08/14,2025/08/14,,,read,,,,1,0
15824358,The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",0,3.85,Harvard Business Review Press,Hardcover,304,2013,2003,,2025/08/10,to-read,to-read (#47),to-read,,,,0,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,"=""0735224900""","=""9780735224902""",0,4.23,Penguin Press,Kindle Edition,352,2018,2018,,2025/08/10,to-read,to-read (#46),to-read,,,,0,0
58957615,"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,"=""0241512425""","=""9780241512425""",5,4.35,Viking,Hardcover,413,2022,2022,2025/07/10,2025/07/21,,,read,,,,1,0
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0141185910""","=""9780141185910""",3,4.06,Penguin,Paperback,256,2001,1953,2025/07/16,2025/05/27,,,read,,,,1,0
91274427,What You Are Looking for Is in the Library,Michiko Aoyama,"Aoyama, Michiko",Alison Watts,"=""1335005625""","=""9781335005625""",4,4.03,Hanover Square Press,Hardcover,304,2023,2020,2025/05/24,2024/07/02,,,read,,,,1,0
26210508,Alchemy: The Surprising Power of Ideas That Don't Make Sense,Rory Sutherland,"Sutherland, Rory",,"=""0753556510""","=""9780753556511""",0,4.21,WH Allen,Paperback,384,2019,2019,,2025/04/11,to-read,to-read (#45),to-read,,,,0,0
34268,"Peter Pan (Peter Pan, #2)",J.M. Barrie,"Barrie, J.M.",Michael Hague,"=""0805072454""","=""9780805072457""",0,4.03,Henry Holt and Co.,Hardcover,155,2003,1911,2025/04/10,2025/04/10,,,read,,,,1,0
197798168,All Fours,Miranda July,"July, Miranda",,"=""0593190262""","=""9780593190265""",0,3.40,Riverhead Books,Hardcover,336,2024,2024,,2025/04/03,to-read,to-read (#44),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.50,Ballantine Books,Hardcover,476,2021,2021,2025/04/01,2025/03/18,,,read,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.95,Penguin Press,Hardcover,406,2023,2023,,2025/03/21,to-read,to-read (#43),to-read,,,,0,0
16951,"When the Lion Feeds (Courtney, #1)",Wilbur Smith,"Smith, Wilbur",,"=""0312940661""","=""9780312940669""",0,4.24,St. Martin's Paperbacks,Mass Market Paperback,534,2006,1964,,2025/03/20,to-read,to-read (#42),to-read,,,,0,0
6449208,The Last Resort: A Memoir of Zimbabwe,Douglas Rogers,"Rogers, Douglas",,"=""0307407977""","=""9780307407979""",0,4.18,Crown,Hardcover,320,2009,2009,,2025/03/20,to-read,to-read (#41),to-read,,,,0,0
429232,The Africa House: The True Story of an English Gentleman and His African Dream,Christina Lamb,"Lamb, Christina",,"=""0060735880""","=""9780060735883""",0,4.03,Harper Perennial,Paperback,432,2005,1999,,2025/03/20,to-read,to-read (#40),to-read,,,,0,0
205363955,Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,Oliver Burkeman,"Burkeman, Oliver",,"=""0374611998""","=""9780374611996""",0,4.26,"Farrar, Straus and Giroux",Hardcover,208,2024,2024,,2025/03/18,to-read,to-read (#39),to-read,,,,0,0
29214420,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,"Raworth, Kate",,"=""1847941389""","=""9781847941381""",0,4.16,UNKNO,Paperback,384,2017,2017,,2025/03/18,to-read,to-read (#38),to-read,,,,0,0
50358502,The Paris Secret,Natasha Lester,"Lester, Natasha",,"=""153871728X""","=""9781538717288""",4,4.46,Forever,Paperback,496,2020,2020,2025/03/17,2025/02/01,,,read,,,,1,0
670089,The Fourth Turning: An American Prophecy—What the Cycles of History Tell Us About America's Next Rendezvous with Destiny,William Strauss,"Strauss, William",Neil Howe,"=""0767900464""","=""9780767900461""",0,3.87,Crown,Paperback,401,1997,1996,,2025/03/09,to-read,to-read (#37),to-read,,,,0,0
122769148,The Madefor Method: A step-by-step guide designed by world-renowned experts to help you get better at being your best,Patrick Dossett,"Dossett, Patrick",,"=""""","=""""",0,4.13,,Kindle Edition,374,2023,,,2025/03/04,to-read,to-read (#36),to-read,,,,0,0
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",0,4.14,Riverhead Books,Hardcover,280,2020,2020,,2025/03/03,to-read,to-read (#35),to-read,,,,0,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",2,3.49,Atlantic Monthly Press,Hardcover,224,2023,2023,2025/02/24,2025/01/22,,,read,"Meandering mediations on the insignificance of life as mere mortals interwoven with natural disaster and human moments of love and death. Beautifully written at times but sometimes repetitive and ultimately neutral in opinion. I found that I was craving for something deeper. Harvey seems to skim along the surface of philosophy, much like her fictional astronauts and cosmonauts.",,,1,0
17165596,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",4,4.36,Riverhead Books,Paperback,371,2013,2003,2025/02/18,2025/01/19,,,read,,,,1,0
9216051,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",3,3.87,Vintage,Kindle Edition,376,2010,1955,2025/02/01,2025/01/10,,,read,,,,1,0
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""""","=""""",0,4.04,Penguin Books,Paperback,263,1987,1985,,2025/01/22,to-read,to-read (#34),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,2016/01/14,2025/01/14,,,read,,,,1,0
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""0060899220""","=""9780060899226""",0,4.19,Ecco/Harper Perennial,Paperback,312,2007,2000,,2025/01/06,to-read,to-read (#33),to-read,,,,0,0
128533513,Make Something Wonderful,Steve Jobs,"Jobs, Steve",,"=""""","=""""",5,4.48,"The Steve Jobs Archive, LLC",ebook,194,2023,,2025/01/03,2024/12/26,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",3,4.29,Grand Central Publishing,ebook,336,2021,2018,2024/11/28,2024/11/29,,,read,,,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",4,4.21,Tinder Press,Hardcover,372,2020,2020,2024/04/18,2024/03/10,,,read,,,,1,0
136066,On the Suffering of the World,Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""0141018941""","=""9780141018942""",0,3.86,Penguin UK,Mass Market Paperback,132,2005,1850,,2024/12/29,to-read,to-read (#32),to-read,,,,0,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",4,4.09,Bethany House Publishers ,Paperback,184,1999,1843,2024/12/26,2024/12/23,,,read,,,,1,0
23420,How Proust Can Change Your Life,Alain de Botton,"Botton, Alain de",,"=""0679779159""","=""9780679779155""",2,3.76,Vintage,Paperback,208,1998,1998,2024/12/22,2024/08/05,,,read,,,,1,0
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Harper,Hardcover,415,2019,2019,,2024/12/18,to-read,to-read (#31),to-read,,,,0,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",4,3.98,Viking,Hardcover,288,2020,2020,2024/12/15,2024/12/01,,,read,,,,1,0
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",0,4.15,W. W. Norton & Company,Paperback,310,2010,1989,,2024/12/14,to-read,to-read (#30),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.05,Knopf,Hardcover,259,2022,2022,,2024/11/15,to-read,to-read (#29),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.11,Knopf,Hardcover,399,2022,2022,2024/11/14,2024/10/19,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"Collins, Jim",,"=""0066620996""","=""9780066620992""",0,4.12,Harper Business,Hardcover,300,2001,2001,,2024/11/07,,,read,,,,1,0
